# CoordinateSystem: PROJCS["CH1903+ / LV95",GEOGCS["CH1903+",DATUM["CH1903+",SPHEROID["Bessel 1841",6377397.155,299.1528128,AUTHORITY["EPSG","7004"]],TOWGS84[674.374,15.056,405.346,0,0,0,0],AUTHORITY["EPSG","6150"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4150"]],PROJECTION["Oblique_Mercator",AUTHORITY["EPSG","9815"]],PARAMETER["latitude_of_center",46.95240555555561],PARAMETER["longitude_of_center",7.439583333333329],PARAMETER["azimuth",90],PARAMETER["recitified_grid_angle",90],PARAMETER["scale_factor",1],PARAMETER["false_easting",2600000],PARAMETER["false_northing",1200000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","2056"]]
#Label,X/Easting,Y/Northing,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0169.jpg,2507744.753888,1139153.975151,460.558926,124.520689,-0.563381,-1.085960,0.688255,0.445307,0.451308,-0.267803,0.677905,0.016319,-0.052091,-0.675703,2507745.199183,1139154.426447,460.291123,124.537008,-0.615472,-1.761663
DJI_0170.jpg,2507739.261105,1139157.856663,460.578501,124.309735,-0.794561,-1.065489,0.662349,0.496564,0.380607,-0.217413,0.652937,0.080565,-0.188144,-0.620030,2507739.757656,1139158.237260,460.361088,124.390300,-0.982705,-1.685519
DJI_0171.jpg,2507734.111986,1139161.426627,460.654595,124.261064,-0.804711,-1.122113,0.604149,0.404686,0.407845,-0.186781,0.576999,0.057775,-0.093926,-0.566363,2507734.516662,1139161.834461,460.467814,124.318839,-0.898637,-1.688476
DJI_0172.jpg,2507729.406417,1139164.603459,460.707241,124.308930,-0.688556,-0.983403,0.648825,0.380926,0.490655,-0.187422,0.646580,-0.026963,-0.045088,-0.644443,2507729.787333,1139165.094101,460.519819,124.281967,-0.733644,-1.627846
DJI_0173.jpg,2507724.114442,1139168.257672,460.735343,124.375321,-0.605457,-0.909334,0.655613,0.437829,0.451826,-0.184359,0.687659,-0.081925,-0.190380,-0.655681,2507724.552259,1139168.709486,460.550984,124.293396,-0.795837,-1.565015
DJI_0174.jpg,2507719.110664,1139171.801979,460.741799,124.368959,-0.423268,-0.959362,0.611516,0.416772,0.412222,-0.174144,0.662169,-0.120873,-0.232014,-0.608298,2507719.527424,1139172.214190,460.567655,124.248086,-0.655282,-1.567660
DJI_0175.jpg,2507714.512833,1139174.955136,460.750606,124.362264,-0.449450,-0.836809,0.589518,0.417483,0.385700,-0.156446,0.679220,-0.156221,-0.280245,-0.598663,2507714.930305,1139175.340826,460.594160,124.206043,-0.729695,-1.435472
DJI_0176.jpg,2507709.331549,1139178.520777,460.729860,124.312284,-0.643220,-0.832308,0.628068,0.503557,0.350723,-0.133768,0.814115,-0.186897,-0.434784,-0.662431,2507709.835092,1139178.871490,460.596092,124.125387,-1.078004,-1.494739
DJI_0177.jpg,2507704.695049,1139181.727056,460.701157,124.223581,-1.158300,-0.859906,0.621601,0.508649,0.345125,-0.092481,0.846840,-0.171184,-0.458765,-0.690919,2507705.203684,1139182.072172,460.608676,124.052397,-1.617065,-1.550825
DJI_0178.jpg,2507699.730700,1139185.116767,460.698108,124.171234,-1.153962,-0.773181,0.559129,0.401673,0.385497,-0.051729,0.752689,-0.138572,-0.299781,-0.676365,2507700.132362,1139185.502254,460.646379,124.032662,-1.453743,-1.449546
DJI_0179.jpg,2507694.977636,1139188.653810,460.721697,124.058266,-1.194699,-0.940925,0.489173,0.238107,0.425993,-0.033538,0.621060,-0.098245,-0.068365,-0.609417,2507695.215736,1139189.079792,460.688159,123.960021,-1.263064,-1.550342
DJI_0180.jpg,2507689.862521,1139192.260087,460.813565,123.896212,-0.890558,-1.086359,0.399852,0.185566,0.352811,-0.031166,0.492086,-0.036705,-0.054748,-0.487651,2507690.048082,1139192.612888,460.782399,123.859507,-0.945306,-1.574010
DJI_0181.jpg,2507684.831726,1139195.607777,460.878259,123.887638,-0.907846,-0.982531,0.396198,0.107340,0.380859,-0.019942,0.465244,-0.017030,0.066079,-0.460213,2507684.939063,1139195.988625,460.858317,123.870608,-0.841767,-1.442744
