# CoordinateSystem: PROJCS["CH1903+ / LV95",GEOGCS["CH1903+",DATUM["CH1903+",SPHEROID["Bessel 1841",6377397.155,299.1528128,AUTHORITY["EPSG","7004"]],TOWGS84[674.374,15.056,405.346,0,0,0,0],AUTHORITY["EPSG","6150"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4150"]],PROJECTION["Oblique_Mercator",AUTHORITY["EPSG","9815"]],PARAMETER["latitude_of_center",46.95240555555561],PARAMETER["longitude_of_center",7.439583333333329],PARAMETER["azimuth",90],PARAMETER["recitified_grid_angle",90],PARAMETER["scale_factor",1],PARAMETER["false_easting",2600000],PARAMETER["false_northing",1200000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","2056"]]
#Label;Enable;X/Easting;Y/Northing;Z/Altitude;X_est;Y_est;Z_est
Cross_top;0;2507653.778653;1139211.545965;422.501031;2507653.828343;1139211.517507;422.562615
Cross_left;0;2507616.834993;1139157.533784;422.985342;2507616.757058;1139157.493665;423.070455
calibration_bottom;0;2507708.456931;1139118.272328;421.998261;2507708.450055;1139118.291074;421.994714
calibration_top;1;2507708.262138;1139120.811822;421.936004;2507708.251544;1139120.844201;421.938267
position_ref_3;1;2507602.808799;1139162.554873;423.380416;2507602.835023;1139162.547506;423.376797
position_ref_1;1;2507648.892518;1139227.500502;422.958307;2507648.896193;1139227.498732;422.957294
position_ref_2;1;2507625.636244;1139194.724068;423.208520;2507625.674914;1139194.725799;423.210788
target 1;1;2507654.879768;1139213.199014;423.289844;2507654.879768;1139213.199016;423.289844
position_ref_4;1;2507579.511209;1139129.799105;423.579016;2507579.511209;1139129.799107;423.579016
calibration_left;1;2507706.830902;1139118.874870;422.068502;2507706.834595;1139118.883960;422.066599
calibration_right;1;2507709.356997;1139119.588515;422.069231;2507709.338075;1139119.601958;422.065010
Station;1;2507695.252096;1139172.773487;422.258284;2507695.230990;1139172.809597;422.262936
Arrow_1;0;2507691.581441;1139125.817815;422.168817;2507691.584394;1139125.791539;422.186190
Arrow_bottom;0;2507680.564892;1139109.780533;422.469653;2507680.457789;1139109.738475;422.409590
Arrow_9;0;2507630.413082;1139177.103339;422.736668;2507630.412911;1139177.121097;422.876484
Arrow_right;0;2507730.857241;1139154.673788;421.983710;2507730.880601;1139154.682810;421.993216
Arrow_2;0;2507711.682902;1139169.856673;422.081562;2507711.719823;1139169.851593;422.136172
Arrow_3;0;2507702.136123;1139141.854238;422.318557;2507702.170518;1139141.851533;422.234902
Small_1;0;2507654.331201;1139156.400107;422.578483;2507654.325509;1139156.443329;422.495430
Small_2;0;2507672.777045;1139140.716032;422.134401;2507672.796688;1139140.728967;422.173931
Small_3;0;2507630.038916;1139148.028124;422.961743;2507630.114402;1139148.012771;423.010997
Small_4;0;2507639.756352;1139163.892446;422.349312;2507639.816731;1139163.881401;422.434188
Small_6;0;2507641.639584;1139137.620003;422.813545;2507641.655031;1139137.619241;422.799228
Arrow_5;0;2507692.329801;1139183.251704;422.260975;2507692.332599;1139183.246773;422.282416
Arrow_6;0;2507673.148291;1139196.376600;422.536867;2507673.149933;1139196.396399;422.503451
Small_7;0;2507654.538439;1139185.188379;422.545461;2507654.556431;1139185.215558;422.485980
Arrow_7;0;2507642.083299;1139194.181478;422.662343;2507642.090387;1139194.107944;422.706573
Small_8;0;2507669.987115;1139165.253211;422.293931;2507670.024498;1139165.226080;422.342847
Small_9;1;2507684.115829;1139157.235208;422.222228;2507684.120983;1139157.223908;422.222851
Arrow_8;0;2507662.545891;1139125.878279;422.569294;2507662.521998;1139125.937691;422.699853
